advertiser,page_id,page_name,ad_id,ad_creation_time,ad_delivery_start_time,currency,reached_country,body_text,link_title,link_caption,link_description,publisher_platforms,ad_snapshot_url,eu_ads_found,status
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2090705951512712,2026-05-26,2026-05-27,USD,US,,Don’t Choose On Price Alone,,,,https://www.facebook.com/ads/library/?id=2090705951512712,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1734510291235230,2026-05-06,2026-05-06,USD,US,,Built For Kitchen Surfaces,,,,https://www.facebook.com/ads/library/?id=1734510291235230,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2246923276134931,2026-04-06,2026-04-06,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=2246923276134931,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2181447212609966,2026-04-06,2026-04-06,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=2181447212609966,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2192503358225422,2026-04-03,2026-04-04,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=2192503358225422,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1574900213859236,2025-12-03,2025-12-03,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1574900213859236,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1949322576020280,2025-10-22,2025-10-23,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1949322576020280,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,806815778794647,2025-10-22,2025-10-23,USD,US,,Kitchen Remodels Done Fast,,,,https://www.facebook.com/ads/library/?id=806815778794647,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1185928016686460,2025-10-22,2025-10-23,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1185928016686460,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2265651643948411,2025-10-22,2025-10-23,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=2265651643948411,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1319855689203620,2025-10-22,2025-10-23,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1319855689203620,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,24716136431385157,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=24716136431385157,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1305522714004865,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1305522714004865,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2629292870746301,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=2629292870746301,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,783227167820108,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=783227167820108,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,824715200054229,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=824715200054229,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1533026871221174,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1533026871221174,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,2079189182614331,2025-10-08,2025-10-09,USD,US,,Unique Custom Kitchen Cabinets,,,,https://www.facebook.com/ads/library/?id=2079189182614331,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,790749246899788,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=790749246899788,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,708869448880832,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=708869448880832,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,789606130525906,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=789606130525906,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,838729401995083,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=838729401995083,0,US/empty
